score,contender_id,match_id
0,1,1
4,2,1
0,3,1
2,4,1
1,5,1
5,6,1
3,7,1
0,1,2
3,2,2
6,3,2
1,4,2
5,5,2
4,6,2
2,7,2
5,1,3
3,2,3
4,3,3
1,4,3
7,5,3
2,6,3
6,7,3
5,1,4
7,2,4
4,3,4
2,4,4
6,5,4
3,6,4
1,7,4
1,1,5
7,2,5
4,3,5
5,4,5
3,5,5
2,6,5
5,7,5
7,1,6
3,2,6
6,3,6
5,4,6
1,5,6
4,6,6
2,7,6
6,1,7
5,2,7
2,3,7
3,4,7
1,5,7
7,6,7
4,7,7
1,1,8
7,2,8
3,3,8
4,4,8
2,5,8
6,6,8
5,7,8
4,1,9
2,2,9
7,3,9
6,4,9
1,5,9
5,6,9
3,7,9
1,1,10
4,2,10
6,3,10
5,4,10
7,5,10
2,6,10
3,7,10
3,1,11
7,2,11
5,3,11
4,4,11
2,5,11
6,6,11
1,7,11
7,1,12
2,2,12
5,3,12
4,4,12
3,5,12
6,6,12
1,7,12
5,1,13
1,2,13
6,3,13
7,4,13
3,5,13
2,6,13
4,7,13
7,1,14
3,2,14
4,3,14
6,4,14
5,5,14
2,6,14
1,7,14
3,1,15
5,2,15
1,3,15
4,4,15
2,5,15
5,6,15
7,7,15
6,1,16
7,2,16
4,3,16
3,4,16
5,5,16
2,6,16
1,7,16
7,1,17
6,2,17
5,3,17
2,4,17
3,5,17
1,6,17
4,7,17
3,1,18
4,2,18
5,3,18
1,4,18
7,5,18
2,6,18
6,7,18
5,1,19
1,2,19
4,3,19
7,4,19
3,5,19
2,6,19
6,7,19
1,1,20
5,2,20
4,3,20
3,4,20
7,5,20
6,6,20
2,7,20
6,1,21
7,2,21
3,3,21
4,4,21
2,5,21
5,6,21
1,7,21
6,1,22
3,2,22
7,3,22
5,4,22
1,5,22
2,6,22
4,7,22
1,1,23
7,2,23
3,3,23
4,4,23
2,5,23
5,6,23
5,7,23
7,1,24
2,2,24
6,3,24
3,4,24
1,5,24
5,6,24
4,7,24
3,1,25
6,2,25
5,3,25
1,4,25
7,5,25
4,6,25
1,7,25
7,1,26
4,2,26
3,3,26
5,4,26
1,5,26
6,6,26
2,7,26
4,1,27
5,2,27
7,3,27
6,4,27
2,5,27
1,6,27
3,7,27
6,1,28
4,2,28
3,3,28
2,4,28
1,5,28
7,6,28
5,7,28
4,1,29
6,2,29
7,3,29
1,4,29
3,5,29
2,6,29
5,7,29
5,1,30
6,2,30
7,3,30
2,4,30
3,5,30
1,6,30
4,7,30
2,1,31
3,2,31
4,3,31
1,4,31
6,5,31
7,6,31
5,7,31
4,1,32
3,2,32
7,3,32
6,4,32
5,5,32
1,6,32
2,7,32
6,1,33
7,2,33
5,3,33
3,4,33
2,5,33
4,6,33
1,7,33
3,1,34
5,2,34
1,3,34
2,4,34
6,5,34
7,6,34
4,7,34
2,1,35
5,2,35
1,3,35
6,4,35
3,5,35
7,6,35
4,7,35
6,1,36
7,2,36
4,3,36
3,4,36
1,5,36
5,6,36
2,7,36
6,1,37
7,2,37
3,3,37
5,4,37
4,5,37
1,6,37
2,7,37
4,1,38
1,2,38
7,3,38
3,4,38
2,5,38
5,6,38
6,7,38
6,1,39
2,2,39
5,3,39
3,4,39
1,5,39
7,6,39
4,7,39
6,1,40
2,2,40
7,3,40
1,4,40
4,5,40
3,6,40
5,7,40
7,1,41
3,2,41
6,3,41
2,4,41
1,5,41
4,6,41
5,7,41
4,1,42
7,2,42
6,3,42
5,4,42
2,5,42
3,6,42
1,7,42
1,1,43
5,2,43
3,3,43
6,4,43
6,5,43
4,6,43
2,7,43
2,1,44
1,2,44
3,3,44
4,4,44
7,5,44
6,6,44
5,7,44
